timestamp,status,doi,pmid,title,journal,year,topic,pdf_path,source_url,error,drive_file_id
2026-04-08T15:47:09,SKIPPED_NOT_OA,10.1038/s41586-020-2649-2,,Array programming with NumPy,Nature,2020,organoid,,,No OA PDF URL from Unpaywall,
2026-04-08T15:47:35,ERROR,10.1371/journal.pone.0000308,,,,,test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1371/journal.pone.0000308 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T15:48:12,SKIPPED_DUPLICATE,10.1371/journal.pone.0000308,,Sharing Detailed Research Data Is Associated with Increased Citation Rate,PLoS ONE,2007,test,,,,
2026-04-08T15:48:50,SKIPPED_NOT_OA,10.1371/journal.pone.0000308,,Sharing Detailed Research Data Is Associated with Increased Citation Rate,PLoS ONE,2007,test,,,No OA PDF URL from Unpaywall,
2026-04-08T15:49:08,SKIPPED_NOT_OA,10.1371/journal.pone.0000308,,Sharing Detailed Research Data Is Associated with Increased Citation Rate,PLoS ONE,2007,test,,,No OA PDF URL from Unpaywall,
2026-04-08T15:52:25,SKIPPED_NOT_OA,10.1038/s41586-020-2649-2,,Array programming with NumPy,Nature,2020,organoid,,,No OA PDF URL from Unpaywall,
2026-04-08T15:52:28,SKIPPED_NOT_OA,10.1007/s13197-020-04355-z,32728272,"Effect of apple pomace on nutrition, rheology of dough and cookies quality.",Journal of food science and technology,2020,tissue-culture,,,No OA PDF URL from Unpaywall,
2026-04-08T15:57:00,ERROR,10.1371/journal.pone.0001000,,,,,oa-test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1371/journal.pone.0001000 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T15:57:11,ERROR,10.1371/journal.pone.0263309,,,,,oa-test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1371/journal.pone.0263309 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T15:57:21,ERROR,10.7717/peerj.4375,,,,,oa-test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.7717/peerj.4375 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
